ordenacao;tempo;quantidade;
Bubble Sort - asc;0.014319658279418945;1000;
Bubble Sort - asc;1.4878435134887695;10000;
Bubble Sort - asc;146.4411473274231;100000;
Optimized Bubble Sort - asc;3.409385681152344e-05;1000;
Optimized Bubble Sort - asc;0.0003075599670410156;10000;
Optimized Bubble Sort - asc;0.003028392791748047;100000;
Selection Sort - asc;0.010966777801513672;1000;
Selection Sort - asc;1.1008117198944092;10000;
Selection Sort - asc;107.78587913513184;100000;
Insertion Sort - asc;5.984306335449219e-05;1000;
Insertion Sort - asc;0.0005600452423095703;10000;
Insertion Sort - asc;0.005601167678833008;100000;
Merge Sort - asc;0.0013573169708251953;1000;
Merge Sort - asc;0.010384559631347656;10000;
Merge Sort - asc;0.12862396240234375;100000;
Quick Sort - asc;0.0008676052093505859;1000;
Quick Sort - asc;0.030269145965576172;10000;
Quick Sort - asc;2.1732747554779053;100000;
Bubble Sort - random;0.023836135864257812;1000;
Bubble Sort - random;2.5025436878204346;10000;
Bubble Sort - random;251.97397208213806;100000;
Optimized Bubble Sort - random;0.024356842041015625;1000;
Optimized Bubble Sort - random;2.5446767807006836;10000;
Optimized Bubble Sort - random;260.01237869262695;100000;
Selection Sort - random;0.011146306991577148;1000;
Selection Sort - random;1.0813953876495361;10000;
Selection Sort - random;110.61020731925964;100000;
Insertion Sort - random;0.010906696319580078;1000;
Insertion Sort - random;1.1393678188323975;10000;
Insertion Sort - random;114.48705101013184;100000;
Merge Sort - random;0.0009379386901855469;1000;
Merge Sort - random;0.011515378952026367;10000;
Merge Sort - random;0.1492326259613037;100000;
Quick Sort - random;0.0010275840759277344;1000;
Quick Sort - random;0.023802995681762695;10000;
Quick Sort - random;1.5639350414276123;100000;
Bubble Sort - desc;0.03240776062011719;1000;
Bubble Sort - desc;3.2997026443481445;10000;
Bubble Sort - desc;348.74735260009766;100000;
Optimized Bubble Sort - desc;0.03368234634399414;1000;
Optimized Bubble Sort - desc;3.4015843868255615;10000;
Optimized Bubble Sort - desc;358.62893891334534;100000;
Selection Sort - desc;0.011659622192382812;1000;
Selection Sort - desc;1.0742383003234863;10000;
Selection Sort - desc;111.61360335350037;100000;
Insertion Sort - desc;0.023148059844970703;1000;
Insertion Sort - desc;2.2538225650787354;10000;
Insertion Sort - desc;233.05886244773865;100000;
Merge Sort - desc;0.0008072853088378906;1000;
Merge Sort - desc;0.009988069534301758;10000;
Merge Sort - desc;0.1254434585571289;100000;
Quick Sort - desc;0.0007905960083007812;1000;
Quick Sort - desc;0.022491931915283203;10000;
Quick Sort - desc;1.5586106777191162;100000;
